1_1	3_1947	1753	87.22
1_1	4_145	1349	24.18
1_10	2_978	934	100
1_10	3_1938	934	100
1_10	4_157	909	96.58
1_10	5_1136	891	94.87
1_1000	2_1629	568	100
1_1000	3_822	568	100
1_1000	4_1158	524	90.71
1_1000	5_814	534	92.86
1_1001	2_1628	681	100
1_1001	3_823	681	100
1_1001	4_1159	629	92.51
1_1001	5_815	633	93.1
1_1002	2_1627	248	100
1_1002	3_824	248	100
1_1002	4_1160	244	98.45
1_1002	5_816	247	99.22
1_1003	2_1626	307	100
1_1003	3_825	307	100
1_1003	4_1161	285	90.67
1_1003	5_817	283	88.89
1_1004	2_1625	253	100
1_1004	3_826	253	100
1_1004	4_1162	160	64.89
1_1004	5_818	204	81.4
1_1005	2_1624	570	100
1_1005	3_827	566	99.64
1_1005	4_1163	388	69.4
1_1005	5_819	421	75.09
1_1006	2_1623	1280	100
1_1006	3_828	1277	99.67
1_1006	4_1164	1014	76.87
1_1006	5_820	1071	81.6
1_1007	2_1622	307	100
1_1007	3_829	305	99.38
1_1007	4_1165	282	91.88
1_1007	5_821	272	85.28
1_1009	2_1620	147	100
1_1009	3_831	146	98.53
1_1009	5_823	81.3	57.14
1_101	2_1070	674	100
1_101	3_1847	661	97.24
1_101	4_248	650	96.01
1_101	5_1232	558	81.6
1_1010	2_1619	744	100
1_1010	3_832	730	98.66
1_1010	4_1168	637	85.48
1_1010	5_824	662	88.71
1_1011	2_1618	1088	100
1_1011	3_833	1080	99.44
1_1011	4_1169	895	84.44
1_1011	5_825	974	89.81
1_1012	2_1617	558	100
1_1012	3_834	553	99.28
1_1012	4_1170	518	89.53
1_1012	5_826	527	92.42
1_1013	2_1616	168	100
1_1013	3_835	168	100
1_1013	4_1171	123	68.48
1_1013	5_827	132	68.42
1_1014	2_1615	1033	100
1_1014	3_836	1019	96.37
1_1015	2_1614	749	100
1_1015	3_837	741	98.62
1_1016	2_1613	786	100
1_1016	3_838	780	99.21
1_1016	4_1172	770	97.64
1_1016	5_828	772	97.91
1_1017	2_1612	712	100
1_1017	3_839	709	99.44
1_1017	4_1173	687	95.48
1_1017	5_829	677	93.79
1_1018	2_1611	397	100
1_1018	3_840	392	99
1_1018	4_1174	379	95.52
1_1018	5_830	361	90.05
1_1019	2_1610	562	100
1_1019	3_841	560	99.62
1_1019	4_1175	535	94.34
1_1019	5_831	548	96.6
1_102	2_1071	1904	100
1_102	3_1846	1894	99.38
1_102	4_249	1828	95.75
1_102	5_1233	1720	89.64
1_1020	2_1609	794	100
1_1020	3_842	793	99.74
1_1020	4_1176	681	83.59
1_1020	5_832	734	91
1_1021	2_1608	489	100
1_1021	3_843	489	100
1_1021	4_1177	444	89.34
1_1021	5_833	463	93.44
1_1022	2_1607	820	100
1_1022	3_844	818	99.75
1_1022	4_1178	729	87.93
1_1022	5_834	751	90.64
1_1023	2_1606	217	100
1_1023	3_845	217	100
1_1023	4_1179	205	93.75
1_1023	5_835	206	93.75
1_1024	2_1605	850	100
1_1024	3_846	849	99.76
1_1024	4_1180	811	92.67
1_1024	5_836	820	94.33
1_1025	2_1604	329	100
1_1025	3_847	327	99.39
1_1025	4_1181	238	72.51
1_1025	5_837	234	72.73
1_1026	2_1603	598	100
1_1026	3_848	595	99.33
1_1026	4_1182	456	77.85
1_1026	5_838	456	75.84
1_1027	2_1602	546	100
1_1027	3_849	543	99.27
1_1027	4_1183	401	73.36
1_1027	5_839	434	78.1
1_1028	2_1601	1152	100
1_1028	3_850	1147	99.66
1_1028	4_1184	962	82.99
1_1028	5_840	998	78.98
1_1029	2_1600	1226	100
1_1029	3_851	1226	100
1_1029	4_1185	1209	98.39
1_1029	5_841	1208	98.23
1_103	2_1072	451	100
1_103	3_1845	448	99.55
1_103	4_250	437	95.5
1_103	5_1234	377	83.64
1_1030	2_1599	403	100
1_1030	3_852	403	100
1_1030	4_1186	403	100
1_1030	5_842	402	99.03
1_1031	2_1598	1080	100
1_1031	3_853	1079	99.62
1_1031	4_1187	1071	99.25
1_1031	5_843	1048	95.18
1_1032	2_1597	749	100
1_1032	3_854	746	99.74
1_1032	4_1188	730	97.42
1_1032	5_844	712	94.07
1_1033	2_1596	1002	100
1_1033	3_855	1002	100
1_1033	4_1189	968	96.49
1_1033	5_845	914	90.8
1_1034	2_1595	1029	100
1_1034	3_856	1026	99.62
1_1034	4_1190	1020	98.68
1_1034	5_846	1016	98.68
1_1035	2_1594	259	100
1_1035	3_857	257	99.22
1_1035	4_1191	250	95.35
1_1035	5_847	223	84.5
1_1036	2_1593	508	100
1_1036	3_858	508	100
1_1036	4_1192	463	90.08
1_1036	5_848	474	92.06
1_1037	2_1592	316	100
1_1037	3_859	310	98.73
1_1037	4_1193	218	65.19
1_1037	5_849	223	67.72
1_1038	2_1591	615	100
1_1038	3_860	611	99.37
1_1038	4_1194	525	85.08
1_1038	5_850	560	90.48
1_1039	2_1590	337	100
1_1039	3_861	332	98.77
1_1039	4_1195	283	82.32
1_1039	5_851	297	87.12
1_104	2_1073	461	100
1_104	3_1844	459	99.56
1_104	4_251	413	89.78
1_104	5_1235	414	89.33
1_1040	2_1589	640	100
1_1040	3_862	638	99.39
1_1040	4_1196	567	88.41
1_1040	5_852	602	93.6
1_1041	2_1588	2502	100
1_1041	3_863	2399	95.18
1_1041	4_1197	1456	59.25
1_1041	5_853	1696	65.1
1_1042	2_1587	374	100
1_1042	3_864	366	94.65
1_1042	4_1198	197	53.59
1_1042	5_854	233	56.68
1_1043	2_1586	318	100
1_1043	3_931	318	100
1_1043	4_1199	294	80.45
1_1043	5_855	313	98.09
1_1044	2_1585	1779	100
1_1044	3_932	1778	99.89
1_1044	4_1200	1742	97.82
1_1044	5_856	1713	95.06
1_1045	2_1584	504	100
1_1045	3_933	504	100
1_1045	4_1201	443	85.89
1_1045	5_857	444	86.29
1_1046	2_1583	641	100
1_1046	3_934	638	99.69
1_1046	4_1202	568	87.08
1_1046	5_858	557	82.14
1_1047	2_1582	1629	100
1_1047	3_935	1586	97.2
1_1047	4_1203	1592	97.2
1_1047	5_859	1528	92.75
1_1048	2_1581	1616	100
1_1048	3_936	1604	99.09
1_1048	4_1204	1493	89.76
1_1048	5_860	1487	89.8
1_1049	2_1580	1640	100
1_1049	3_937	1637	99.62
1_1049	4_1205	1576	95.98
1_1049	5_861	1543	93.94
1_105	2_1074	803	100
1_105	3_1843	796	99.03
1_105	4_252	796	99.03
1_105	5_1236	780	96.36
1_1050	2_1579	459	100
1_1050	3_938	459	100
1_1050	4_1206	456	99.12
1_1050	5_862	454	98.68
1_1051	2_1578	1691	100
1_1051	3_939	1687	99.76
1_1051	4_1207	1591	94.76
1_1051	5_863	1557	91.43
1_1052	2_1577	199	100
1_1052	3_940	199	100
